Category,Severity,File,Line,Excerpt,Issue,Recommendation
Modal Uncertainty,High,_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,74,"This may result in lower delivery rates...","'may' without mitigation path","Add explicit monitoring: review error code 131049 daily; adjust send frequency or template quality if failure rate > X%."
Modal Uncertainty,Medium,_docs/_user_guide/personalization_and_dynamic_content/key_value_pairs.md,140,"...may be used for whatever purpose you choose.",Open-ended use without guardrails,"Provide allowed examples (metrics, UI state) and discouraged (PII, secrets)."
Modal Uncertainty,High,_docs/_user_guide/personalization_and_dynamic_content/connected_content/caching_responses.md,44,"Data may be evicted... may not represent duration...",Ambiguous non-deterministic caching behavior,"Clarify cache is opportunistic; do not rely for SLA. Add idempotent design guidance."
Modal Uncertainty,High,_docs/_user_guide/personalization_and_dynamic_content/connected_content/making_an_api_call.md,68,"Braze systems may make the same Connected Content API call more than once...",Unknown duplication frequency; impacts idempotency,"State typical duplicate rate or max attempts; advise idempotent endpoints and request fingerprinting."
Modal Uncertainty,Medium,_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,120,"typically fewer than 1,000 users",'Typically' threshold may mislead,"Replace with "below ad network minimum audience size" or cite official doc; remove 'typically'."
Modal Uncertainty,Low,_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/judo.md,19,"may incorporate content that comprises multiple screens...",Scope diffuse,"List concrete supported components (screens, modals, video, fonts) and limits (max screens)."
Modal Uncertainty,Medium,_docs/_user_guide/personalization_and_dynamic_content/connected_content/caching_responses.md,76,"...cached version might be used across multiple users...",Potential data mixing risk not addressed,"Add warning not to include user-specific secrets; ensure responses devoid of PII."
Vague Quantifier,Medium,_docs/_user_guide/getting_started/campaigns_canvases.md,19,"four main types",Potential incompleteness if more exist,"Confirm canonical list or rephrase to 'primary types include'."
Vague Quantifier,Low,_docs/_user_guide/getting_started/workspaces.md,58,"several games",Non-specific count,"Remove 'several' or give example ('three mobile games')."
Vague Quantifier,Medium,_docs/_partners/data_and_analytics/loyalty/sessionm.md,112,"several different internal levers",Unclear mechanism list,"Name key levers or link to SessionM docs taxonomy."
Vague Quantifier,Low,_docs/_partners/message_personalization/dynamic_content/cloudinary.md,165,"Further customization can be achieved...",Generic statement,"Add 2â€“3 transformation parameter examples (e.g., width, format, quality)."
Vague Quantifier,Low,_docs/_partners/message_personalization/dynamic_content/personalized_recommendations/amazon_personalize/amazon_personalize.md,38,"Some common use cases include:",May imply exhaustive list,"Preface with 'Examples include' or link to full use-case catalog."
Optional vs Required,Medium,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/create.md,326,"start date must... end date optional",Lacks when to omit end date guidance,"Add scenarios: evergreen vs limited-time promo decision table."
Optional vs Required,High,_docs/_api/endpoints/templates/content_blocks_templates/post_update_content_block.md,38,"name/description/tags optional with constraints",Unclear validation behavior for omitted fields,"Clarify constraints apply only if field present; specify error codes for violations."
Optional vs Required,High,_docs/_api/endpoints/messaging/schedule_messages/post_schedule_triggered_campaigns.md,68,"broadcast optional; must set true if sending to entire segment",Decision logic implicit,"Provide decision table: broadcast vs recipients with examples."
Optional vs Required,High,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/link_shortening.md,85,"link_shortening_enabled" dependency,"Hidden coupling between tracking flags","Add parameter dependency matrix; specify failure response if dependency unmet."
Optional vs Required,High,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/link_shortening.md,86,"user_click_tracking_enabled" dependency,"Secondary coupling ambiguous","Same matrix entry; explain order of evaluation."
Redundancy,Low,_docs/_user_guide/personalization_and_dynamic_content/connected_content/caching_responses.md,44,"Paragraph repeated multiple times",Noise / maintenance risk,"Consolidate single authoritative paragraph."
Redundancy,Low,_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,167,"Duplicate bullet about 500 custom audience limit",Duplicate content,"Remove duplicate; keep one instance with link to limit policy."
Redundancy,Low,_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/judo.md,19,"Repeated capability statements",Repetition across section,"Collapse overlapping sentences into concise feature summary list."
Redundancy,Low,_docs/_user_guide/personalization_and_dynamic_content/connected_content/making_an_api_call.md,68,"Duplicate call behavior paragraph",Multiple copies reduce clarity,"Retain single paragraph; move details to 'Idempotency' subsection."
Permissions Scope,High,_includes/permissions.md,NA,"Scope labels: Company wide / Specific dashboard",Terminology inconsistency,"Standardize: Organization-wide, Workspace-specific, Audience filtering. Add layering matrix."
Risk / Impact,High,_docs/_user_guide/personalization_and_dynamic_content/connected_content/making_an_api_call.md,66,"confirm your usage won't violate any rate-limiting",No verification steps,"Add monitoring steps: track 429 rate; implement exponential backoff; preflight HEAD check."
Risk / Impact,Medium,_docs/_partners/message_personalization/dynamic_content/cloudinary.md,106,"contextually relevant assets" claim,No validation fallback guidance,"Add test procedure + fallback asset rule if transformation fails."
Risk / Impact,High,_docs/_partners/canvas_audience_sync/google_audience_sync.md,85,"liability risk if consent missing",Lacks remediation path,"Provide segment filter example + audit schedule for consent attributes."
Risk / Impact,Medium,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/link_shortening.md,86,"dependency chain implied",No failure mode description,"Document error code on misuse; add pre-send checklist."
Contradiction,High,_docs/_user_guide/personalization_and_dynamic_content/connected_content/caching_responses.md,44,"cache duration suggestion vs eviction",Could mislead reliability assumptions,"Explicitly label caching non-deterministic; do not depend for consistency."
Contradiction,Medium,_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,120,"typical audience threshold",Imprecise threshold may conflict with actual enforcement,"Replace with neutral wording or cite authoritative threshold doc."
Contradiction,High,_includes/permissions.md,NA,"Teams scope 'Specific dashboard' vs others",Misaligned conceptual layer,"Revise scope column; add model: Permission Set + Role + Team overlays."
