file,line,original,replacement,tag
_docs/_partners/isv_partners/best_practices.md,34,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/data_warehouses/snowflake.md,73,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/data_warehouses/snowflake.md,138,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/cohort_import/tinyclues.md,34,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/data_privacy/ketch.md,60,You need to ,You must ,you-need-to
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,13,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/business_intelligence/datadog.md,29,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/ab_testing/optimizely.md,27,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,72,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,85,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,100,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,45,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,47,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,34,You need to ,You must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/simondata.md,18,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/celebrus.md,31,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,24,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,407,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_for_currents.md,25,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,23,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,34,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_audiences.md,24,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/adobe/adobe_for_currents.md,21,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/zeotap/zeotap_for_currents.md,25,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack_for_currents.md,23,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack_for_currents.md,32,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/rudderstack/rudderstack.md,72,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/treasure_data/treasure_data_for_currents.md,23,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,22,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,42,You need to ,You must ,you-need-to
_docs/_partners/data_and_analytics/analytics/kickbox.md,12,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/analytics/mixpanel.md,23,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/cloud_storage/google_cloud_storage_for_currents.md,27,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/cloud_storage/amazon_s3.md,30,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/cloud_storage/amazon_s3.md,63,you need to ,you must ,you-need-to
_docs/_partners/data_and_analytics/cloud_storage/amazon_s3.md,326,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/extensions/landing_pages/digioh.md,34,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/extensions/landing_pages/komo.md,56,You need to ,You must ,you-need-to
_docs/_partners/additional_channels_and_extensions/extensions/landing_pages/komo.md,72,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/extensions/surveys/iterate.md,74,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/mobile_wallet/passkit.md,25,You need to ,You must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/mobile_wallet/passkit.md,26,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/mobile_wallet/passkit.md,56,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/messenger.md,31,You need to ,You must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/messenger.md,32,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/messenger.md,42,you need to ,you must ,you-need-to
_docs/_partners/additional_channels_and_extensions/additional_channels/direct_mail/mypostcard.md,24,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/ordering_payments_subscription/revenuecat.md,23,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,32,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,126,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,179,You need to ,You must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,229,You need to ,You must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,234,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,261,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,274,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_overview.md,49,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_overview.md,80,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_overview.md,138,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_data_features.md,534,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,17,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,393,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,685,You need to ,You must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,735,You need to ,You must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,740,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/shopify/shopify_catalogs.md,92,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_distribution_with_braze_custom_attributes.md,18,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_distribution_with_braze_custom_attributes.md,41,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_distribution_with_braze_custom_attributes.md,71,You need to ,You must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_fetching_data_through_braze_connected_content.md,144,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_fetching_data_through_braze_connected_content.md,180,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_fetching_data_through_braze_connected_content.md,210,you need to ,you must ,you-need-to
_docs/_partners/ecommerce/loyalty/voucherify/voucherify_fetching_data_through_braze_connected_content.md,445,you need to ,you must ,you-need-to
_docs/_partners/canvas_audience_sync/overview.md,18,you need to ,you must ,you-need-to
_docs/_partners/canvas_audience_sync/criteo_audience_sync.md,32,You need to ,You must ,you-need-to
_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,203,you need to ,you must ,you-need-to
_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,206,you need to ,you must ,you-need-to
_docs/_partners/canvas_audience_sync/google_audience_sync.md,94,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/deeplinking/appsflyer/appsflyer.md,38,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/attribution/branch_for_attribution.md,37,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/attribution/airbridge.md,38,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/attribution/kochava.md,50,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/attribution/singular.md,36,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/attribution/singular.md,81,You need to ,You must ,you-need-to
_docs/_partners/message_orchestration/retargeting/jampp.md,69,you need to ,you must ,you-need-to
_docs/_partners/message_orchestration/retargeting/adikteev.md,71,you need to ,you must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/worthy.md,36,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/da_vinci.md,27,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,27,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,28,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,68,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/dynamic_sms_link.md,18,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/personalized_recommendations/amazon_personalize/workshop.md,22,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/personalized_recommendations/amazon_personalize/workshop.md,39,you need to ,you must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/content_optimization_testing/trustpilot.md,26,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/content_optimization_testing/jacquard.md,23,you need to ,you must ,you-need-to
_docs/_partners/message_personalization/localization/smartling.md,34,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/localization/lokalise.md,90,you need to ,you must ,you-need-to
