Status,KB link,Ticket link,Ticket Title,Target page,Simplified ticket description,Proposed content,Additional information,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000KDQvYAO/view,https://jira.braze.com/browse/BD-4494,Low IAM impressions,IAM troubleshooting,Add some of the reasons behind low IAM impressions,"### Why are my in-app message impressions low?

Your impressions may be low for several reasons, including:

- Users haven't viewed the in-app message, so impressions aren't logged.
- Multiple in-app messages are intercepting each other (such as multiple high-priority messages).
- If the message is in a Canvas, users may be entering a Delay step that is longer than the session timeout before receiving the in-app message","Most of the content comes from the internal notes, where aren't specified as sensitive in the ticket.",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000JFg5YAG/view,https://jira.braze.com/browse/BD-4420,Why Are There More Impressions for The Control Group Compared to The Variant in In-App Messages (IAMs)?,In-app message reporting,Explain why IAMs might have a larger control group compared to the real variant,"### Discrepancies between control groups and variants

When an in-app message campaign has a 50-50 variant split, sometimes the control group will have a slightly higher percentage than the variant (such as 51% for the control group and 49% for the variant). This discrepancy is caused by a difference in rendering time. 

In-app messages may require some time to render if they contain images, Connected Content, and other features, or if they're rendering in regions with slower internet speeds. It's possible for a user to trigger an in-app message, be assigned to a variant, but then end their session before the in-app message renders on their device—resulting in the impression not getting logged. In contrast, the control group doesn't require any rendering. The user only need to perform the trigger to log an impression.","Add below ""In-app message metrics"" subsection",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000KGjlYAG/view,https://jira.braze.com/browse/BD-4294,IAM Display Delays,Triggering in-app messages,Describe possible causes of IAM display delays,"## Causes of in-app message delays

If you receive an in-app message campaign a few seconds after session start, the delay may have been caused by:
- A delay in the campaign trigger
- Customizations
- The trigger event recording later than you expected (such as with a `templated_iam`)

## Types of in-app messages

Braze sends two types of in-app messages to user devices upon session start: `inapp` and `templated_iam`. As a dashboard user, you won't see the different types, but Braze handles them differently depending on the setup and content.

[Can also be displayed in tabs]
### `inapp`

An `inapp` in-app message is already templated with the necessary information, such as custom attributes that Braze already knows. Generally, once the in-app message downloads to the device, the trigger event causes the SDK to display the `inapp` in-app message even when the device is offline or on airplane mode.

### `templated_iam`

A `templated_iam` in-app message isn't yet templated with the necessary information. Braze needs to make another request to pull in the information before the message can display.

In-app messages that contain the following are `templated_iam`:

- Event properties
- Canvas entry properties
- Connected Content tags
- SMS properties (if the `sms_inbound_response_handling` feature flipper is on)
- **Re-evaluate campaign eligibility before displaying** is checked on the **Target Audiences** step
   - HTML in-app messages with assets","Unclear what the nested bullet "" HTML in-app messages with assets"" means in reference to the parent bullet.",
Ready for Review,https://braze.okta.com/app/salesforce/exk7uo47xe3igMj2B5d7/sso/saml,https://jira.braze.com/browse/BD-4452,"When Does Braze Log a ""Campaign Received"" or ""Impression"" for an In-App Message (IAM)?",Metric Reports Glossary,Specify when Braze logs an IAM impression (at time of display),"[IAM total impressions metrics definiton]
If there are multiple devices and re-eligibility is off, the user should only see the in-app message once. Even if the user uses multiple devices, they will only see it on the first device that is targeted. This assumes that the profile has consolidated devices and a user has one user ID that they are logged into across devices. If re-eligibility is on, an impression is logged for every time that user sees the in-app message, not during scheduled send.

[IAM unique impressions metrics definiton]
Unique impressions can be incremented again after 24 hours if re-eligibility is on and a user performs the trigger action. If re-eligibility is on, Unique Impressions = Unique Recipients.This increments at the time of display, not during scheduled send.

",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000K8FxYAK/view,https://jira.braze.com/browse/BD-4577,Adding Click Attribution in GA vs Braze,Deeplinking to in-app content,Add how clicks are added differently in Braze than in Google Analytics when using UTM statistics,"### UTM tag calculations

Braze reports _Total Clicks_ for all links in a campaign or Canvas step, which can include links that don't have UTM tags. This means you may see a different (often lower) result in your Google Analytics campaign tracking links compared to the _Total Clicks_ displayed in you campaign performance or Report Builder.",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000JmqXYAS/view,https://jira.braze.com/browse/BD-4405,Troubleshoot received In-App Message that does Not Display on Device,IAM troubleshooting,Add a bullet point to check if the user has a customization ,"5. Are you using a customized components library, which may interfere with how in-app messages display?","Add bullet point to ""My in-app message wasn’t shown for all users"", unless it's better suited for another section",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000KGGjYAO/view,https://jira.braze.com/browse/BD-4356,IAM on Session Start with Delay - Nuances,About in-app messages,Add nuances about IAM campaign scheduled delays and session starts ,"## Considerations for scheduled delays and session starts

It's possible that when an in-app message campaign has a ""Schedule Delay"" triggered on session start, if the user starts a session and then closes the app before the in-app message displays, the message will trigger on the next session start after the delay's expiry.

This could cause non-ideal in-app message display behaviors, specifically if you have an in-app message campaign that doesn't have ""Re-evaluate campaign eligibility before displaying"" selected.

For example, let's say a stopped in-app message campaign with an eight second delay was received by a user a month later. This happened because the user started a session, immediately ended the session, started a session a month later, and then eight seconds later received the in-app message. If the user navigates away from the app without closing it, the in-app message will display when the user returns to the app.",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000FfZ7YAK/view,https://jira.braze.com/browse/BD-4235,How to chain-trigger two In-App messages in the same single session,About in-app messages,Cover how to trigger 2 in-app messages in a single session,"## Chain-triggering two in-app messages in one session

You can trigger an in-app message to send from session start, and then trigger a second in-app message to send after a button is pressed in the first in-app message. To do this, you'll need to build a JavaScript bridge to log a button click event that triggers the second message.

### Considerations

- The trigger for the second message must occur on the device side. The Braze SDK won't pick up custom attribute changes that occur on Braze servers. 
- The default 30-second cooldown between in-app message triggers (a device-side rate limit) must be altered in order to show multiple in-app messages in quick succession. Refer to the relevant documents for iOS, iOS Swift, Android, and Web.

### Logging a button click event to trigger the second message

{% tabs %}
{% tab `logEvent()` %}

Add the following code directly into the first in-app message's composer. This will pass the custom event and trigger the second message.

```java
function logEvent() {
appboyBridge.logCustomEvent(""CUSTOM_EVENT_NAME"");
appboyBridge.requestImmediateDataFlush();
appboyBridge.closeMessage();
} window.addEventListener('ab.BridgeReady', logStartEvent, false); </script>
```

{% endtab %}
{% Deep linking %}

When the button is clicked, the in-app message begins closing and the deep link is passed to a delegate method within your app. The deep link contains instruction to log the custom event named in the link. The delegate method that handles deep links then nests the code that logs the custom event within a delay.

Here is example code for Swift for iOS:

```swift
/** 
Example deep link URL:
yourapp://customEventTrigger?eventName=event_triggering_next_message
*/

func application(_ application: UIApplication, handleOpen url: URL) -> Bool {
    let absoluteString = url.absoluteString
    let dictionary = URLComponents(string: absoluteString)?.queryItems?.reduce(into:[String: String]()) {
        (result, item) in result[item.name] = item.value
    }
    if absoluteString.contains(customEventTrigger) {
        if let eventName = dictionary?[eventName] as? String {
            DispatchQueue.main.asyncAfter(deadline: .now() + .seconds(1), execute: {
                AppDelegate.braze?.logCustomEvent(name: eventName)
            })
        }
    }
return true
}
```

{% alert important %}
`DispatchQueue` makes sure that the closing animation of the first in-app message finishes before `logCustomEvent` is called, which will prompt the next in-app message to display. In the prior example, the second in-app message will display one second after the click occurs.
{% endalert %}

[% endtab %}
{% endtabs %}","Can add as a subsection for use cases, then link to it from the dnd and traditional IAM articles. Otherwise, we could use an include snippet to populate them direction into the dnd and traditional IAM articles (if that wouldn't bulk them up too much)",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000KhgjYAC/view,https://jira.braze.com/browse/BD-4584,Limitations for IAM DnD Editor,In-app messages prep guide,Enhance the Braze documentation regarding in-app messages (IAM) to include a section on the limitations of the Drag and Drop (DnD) editor for IAM.,"## Drag-and-drop editor considerations

### Adding deep links for different devices

Currently, we don't support adding different deep links for different devices in the in-app message drag-and-drop editor (unlike the traditional editor).

### Adjusting background image opacity

The in-app message drag-and-drop editor's opacity setting doesn't allow for complete transparency of background images (unlike the traditional IAM editor). However, you can use opacity settings to make the message background color completely transparent.

### Setting the maximum width

The maximum width in the drag-and-drop editor is limited at 325px; however, this is primarily meant to accomodate the width of the dashboard preview. Messages can display properly on smaller screen devices with a width smaller than 325px.
 
### Selecting different backgounds for different platforms

It's not possible to show two different backgrounds for the same message on different platforms (such as web and mobile). 

### Applying message styles

Currently, background images apply to the full message and can’t be customized per page. This means that message styles apply to the full message, not individual pages.

### Measuring Spacer blocks height

The measurement unit for Spacer blocks is pixel (px) and can't be changed.

### Supported formats

Currenly, only modal and full screen in-app messages are supported. Submit a product request if you'd like to request other formats.

### Adjusting to the size and aspect ratio

It's expected that the background image will stretch the in-app message, as the modal adjusts to fit the size and aspect ratio of the background image, but you can adjust the ratio as needed.

### Background images and on-click behavior persists across pages

Currently, this is expected behavior. If you want multi-page in-app messages with different full images on each page, add a button to allow users to click onto the next page.",I may toy with the header hierarchy to better fit on the page.,
Ready for Review,https://braze.okta.com/app/salesforce/exk7uo47xe3igMj2B5d7/sso/saml,https://jira.braze.com/browse/BD-4395,Closing Native In-App Message and Body Clicks,In-app messages FAQs,Describe the ways to dismiss a native in-app message (IAM) and the resulting click events.,"### How can in-app messages be dismissed, and what are the associated click events?

Assuming there are no customizations, these are the different ways a user can dismiss an in-app message and the associated click events.

| Dismissal | Click event |
| - | - |
| Outside tap dismissals (iOS) | If the user taps outside of the message (and outside tap dismissals are enabled), the dismissal is only registered as an impression, not a body click. |
| App is closed upon receiving the message (iOS or Android) | This registers as an impression, not a body click. |
| Tap ""X"" to close the message (iOS or Android) | This registers as an impression, not a body click. |
| Tap on the message body (iOS or Android) | This registers as an impression and body click.|
{: .reset-td-br-1 .reset-td-br-2 role=""presentation"" }",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000JZdBYAW/view,https://jira.braze.com/browse/BD-4479,How to embed YouTube videos In IAMs,Video,Add nuances for embedding YouTube videos,"> To play a non-YouTube video in an HTML in-app message, include the following <video> element in your HTML, and replace the video names with your file’s name (or the remote asset’s URL). You can find other possible <video> options on MDN Web Docs.

[.........]

## Android considerations

To embed video and other HTML5 content in HTML in-app messages on Android, hardware acceleration is required to be enabled in the Activity where the in-app message is displayed. Hardware acceleration is only available on Android API versions 11 and later. For more information, refer to the Android developer guide. 

Android doesn't support autoplay.

## iOS considerations

To support iOS devices:
- You must include the `playsinline` attribute because full screen playback is not supported at this time.
- iOS doesn't support autoplay by default. To update this default option, you can modify the ABKInAppMessageHTMLViewController. 

### How YouTube videos display

- YouTube-embedded in-app messages display directly inside the app. 
- YouTube-embedded in-app messages display in a separate tab within the app. 
- In-app message text won't display.

## Web considerations

To autoplay YouTube videos, add the UTM parameter of `&autoplay=1`. For example, the following video will autoplay, be muted (`&mute=1`), and show no controls (`&controls=0`).

``` 
<iframe class=""video"" src=""https://www.youtube.com/embed/VPIPAc4oQqw?autoplay=1&mute=1&controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
```

### How YouTube videos display

YouTube-embedded in-app messages will displays directly inside the app.

## Troubleshooting

If your in-app message doesn't display your video, do the following:

- Confirm your URL is valid.
- Confirm you're not missing the `type=""video/mp4""` declaration.
- Add any missing closing tags and fix typos.",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000IYknYAG/view,https://jira.braze.com/browse/BD-4496,Troubleshooting IAM Impressions vs Unique Impressions,Troubleshooting,Explain why unique impressions might be higher than impressions,"### Impressions are greater than Unique Impressions

If your in-app message performance shows more _Impressions_ than _Unique Impressions_, the following may have happened: 
- If re-eligibilty isn't turned on, users who received the campaign may have more than one device. 
- If your in-app message has a scheduled delay for a few minutes after the trigger event occurs, users may have received the message more than once. 

For more information on re-eligibilty, refer to [Re-eligibility for campaigns and Canvas]({{site.baseurl}}/user_guide/engagement_tools/messaging_fundamentals/reeligibility/).","The information about triggered campaigns with re-eligibility turned on was already included in ""Re-eligibility for campaigns and Canvas""",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000GscLYAS/view,https://jira.braze.com/browse/BD-4462,Connected Content and IAM FAQs,Making a Connected Content API call,Provide answers to frequently asked questions regarding the behavior of Connected Content with In-App Messages (IAM),"### When are Connected Content calls made with in-app messages? Can I run them on click?

A connected Content call is made as soon as the in-app message is delivered to the user's device, regardless of where the Connected Content call occurs in the in-app message. You can delay the call until rendering by checking the box for **Re-evaluate campaign eligibility before displaying**.

### If I use the same Connected Content call in different buttons within my in-app message, where will the call happen?

Braze doesn't tie the call to an on-click event, even if the call is made in a button. If you have multiple buttons with calls, Braze makes a separate call for each button, even if they are identical calls.

### Can I use data added to a user profile by REST API in the same session that user receives an in-app message?

Yes, with some exceptions. For example, let's say a user is within an audience for an in-app message that is awaiting a trigger. That user starts a session, and in the same session data is added to their user profile by REST API. That updated data can be used in the user's in-app message. However, **Re-evaluate campaign eligibility before displaying** must be checked, and Braze won't template the in-app message until it's time to render. 

Also, if the same trigger sends data to Braze **and** triggers the in-app message, you can't add the updated data to the in-app message (even with a scheduled delay). You must have two separate triggers: send the data, and add the data.","I embellished the third FAQ, so it needs an extra close eye.",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000IEULYA4/view,https://jira.braze.com/browse/BD-4537,Zero Sends for In-App Message Canvas,In-app messages in Canvas,Update docs about in-app messages in Canvas to include information on why a Canvas may show no sends occurred while impressions are logged.,"### Why a Canvas may show zero Sends even though impressions are logged

If _Messages sent_ are always zero for a Canvas containing an in-app message step, this could be because in-app message delivery is different from delivery for other messaging channels.

In-app messages are ""pulled"" by the SDK, rather than ""pushed"" from Braze. Specifically, in-app messages for eligible users are delivered automatically on session start and ""wait"" for the trigger event before displaying. Because eligible users will receive the message when they start a session, Braze won't report this as a send event. When users perform the trigger event, the message will display and Braze will log an impression and mark the Canvas step (or campaign) as received on the user profile. Consequently, the _Sends_ total will be zero for in-app messages.",,
